연번,대분류,항목명,중분류,코드,소분류,항목명,세분류,real항목,세세분류,항목
84,,,,,,,,,10794,두부 및 유사식품 제조업
85,,,,,,,,,10795,인삼식품 제조업
86,,,,,,,,,10796,건강보조용 액화식품 제조업
87,,,,,,,,,10797,건강기능식품 제조업
88,,,,,,,,,10798,도시락 및 식사용 조리식품 제조업
89,,,,,,,,,10799,그외 기타 식료품 제조업
90,,,,,108,동물용 사료 및 조제식품 제조업,1080,동물용 사료 및 조제식품 제조업,10800,동물용 사료 및 조제식품 제조업
91,,,11,음료 제조업,111,알콜음료 제조업,1111,발효주 제조업,11111,탁주 및 약주 제조업
92,,,,,,,,,11112,청주 제조업
93,,,,,,,,,11113,맥아 및 맥주 제조업
94,,,,,,,,,11119,기타 발효주 제조업
95,,,,,,,1112,증류주 및 합성주 제조업,11121,주정 제조업
96,,,,,,,,,11122,소주 제조업
97,,,,,,,,,11129,기타 증류주 및 합성주 제조업
98,,,,,112,비알콜음료 및 얼음 제조업,1120,비알콜음료 및 얼음 제조업,11201,얼음 제조업
99,,,,,,,,,11202,생수 생산업
100,,,,,,,,,11209,기타 비알콜음료 제조업
101,,,12,담배 제조업,120,담배 제조업,1200,담배 제조업,12001,담배 재건조업
102,,,,,,,,,12002,담배제품 제조업
103,,,13,섬유제품 제조업; 의복제외,131,방적 및 가공사 제조업,1310,방적 및 가공사 제조업,13101,면 방적업
104,,,,,,,,,13102,모 방적업
105,,,,,,,,,13103,화학섬유 방적업
106,,,,,,,,,13104,연사 및 가공사 제조업
107,,,,,,,,,13109,기타 방적업
108,,,,,132,직물직조 및 직물제품 제조업,1321,직물 직조업,13211,면직물 직조업
109,,,,,,,,,13212,모직물 직조업
110,,,,,,,,,13213,화학섬유직물 직조업
111,,,,,,,,,13214,견직물 직조업
112,,,,,,,,,13219,특수직물 및 기타직물 직조업
113,,,,,,,1322,직물제품 제조업,13221,침구 및 관련제품 제조업
114,,,,,,,,,13222,자수제품 및 자수용재료 제조업
115,,,,,,,,,13223,커튼 및 유사제품 제조업
116,,,,,,,,,13224,천막 및 기타캔버스 제품 제조업
117,,,,,,,,,13225,직물포대 제조업
118,,,,,,,,,13229,기타 직물제품 제조업
119,,,,,133,편조원단 및 편조제품 제조업,1331,편조원단 제조업,13310,편조원단 제조업
120,,,,,,,1332,편조제품 제조업,13320,편조제품 제조업
121,,,,,134,"섬유제품 염색, 정리 및 마무리 가공업",1340,"섬유제품 염색, 정리 및 마무리 가공업",13401,솜 및 실 염색가공업
122,,,,,,,,,13402,직물 및 편조원단 염색 가공업
123,,,,,,,,,13403,날염 가공업
124,,,,,,,,,13404,섬유사 및 직물 호부처리업
125,,,,,,,,,13409,"기타 섬유제품 염색, 정리 및 마무리 가공업"
126,,,,,139,기타 섬유제품 제조업,1391,"카펫, 마루덮개 및 유사제품 제조업",13910,"카펫, 마루덮개 및 유사제품 제조업"
