연번,대분류,항목명,중분류,코드,소분류,항목명,세분류,real항목,세세분류,항목
365,,,,,266,마그네틱 및 광학 매체 제조업,2660,마그네틱 및 광학 매체 제조업,26600,마그네틱 및 광학 매체 제조업
366,,,27,"의료, 정밀, 광학기기 및 시계 제조업",271,의료용 기기 제조업,2711,방사선장치 및 전기식 진단기기 제조업,27111,방사선 장치 제조업
367,,,,,,,,,27112,전기식 진단 및 요법 기기 제조업
368,,,,,,,2719,기타 의료용 기기 제조업,27191,치과용 기기 제조업
369,,,,,,,,,27192,정형외과용 및 신체보정용 기기 제조업
370,,,,,,,,,27193,의료용 가구 제조업
371,,,,,,,,,27199,그외 기타 의료용 기기 제조업
372,,,,,272,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2721,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업",27211,항행용 무선기기 및 측량기구 제조업
373,,,,,,,,,27212,"전자기 측정, 시험 및 분석기구 제조업"
374,,,,,,,,,27213,"물질 검사, 측정 및 분석기구 제조업"
375,,,,,,,,,27214,속도계 및 적산계기 제조업
376,,,,,,,,,27215,기기용 자동측정 및 제어장치 제조업
377,,,,,,,,,27216,산업처리공정 제어장비 제조업
378,,,,,,,,,27219,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업"
379,,,,,273,"안경, 사진장비 및 기타 광학기기 제조업",2731,안경 제조업,27310,안경 제조업
380,,,,,,,2732,광학기기 및 사진장비 제조업,27321,광학렌즈 및 광학요소 제조업
381,,,,,,,,,27322,"사진기, 영사기 및 관련장비 제조업"
382,,,,,,,,,27329,기타 광학기기 제조업
383,,,,,274,시계 및 시계부품 제조업,2740,시계 및 시계부품 제조업,27401,시계제조업
384,,,,,,,,,27402,시계부품 제조업
385,,,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2811,"전동기, 발전기 및 전기변환장치 제조업",28111,전동기 및 발전기 제조업
386,,,,,,,,,28112,변압기 제조업
387,,,,,,,,,28113,방전램프용 안정기 제조업
388,,,,,,,,,28119,기타 발전기 및 전기변환장치 제조업
389,,,,,,,2812,전기공급 및 전기제어 장치 제조업,28121,"전기회로 개폐, 보호 및 접속 장치 제조업"
390,,,,,,,,,28122,배전반 및 전기자동제어반 제조업
391,,,,,282,일차전지 및 축전지 제조업,2820,일차전지 및 축전지 제조업,28201,일차전지 제조업
392,,,,,,,,,28202,축전지 제조업
393,,,,,283,절연선 및 케이블 제조업,2830,절연선 및 케이블 제조업,28301,광섬유 케이블 제조업
394,,,,,,,,,28302,기타 절연선 및 케이블 제조업
395,,,,,,,,,28303,절연 코드세트 및 기타 도체 제조업
396,,,,,284,전구 및 조명장치 제조업,2841,전구 및 램프 제조업,28410,전구 및 램프 제조업
397,,,,,,,2842,조명장치 제조업,28421,운송장비용 조명장치 제조업
398,,,,,,,,,28422,일반용 전기 조명장치 제조업
399,,,,,,,,,28423,전시 및 광고용 조명장치 제조업
400,,,,,,,,,28429,기타 조명장치 제조업
401,,,,,285,가정용 기기 제조업,2851,가정용 전기기기 제조업,28511,주방용 전기기기 제조업
402,,,,,,,,,28512,가정용 전기 난방기기 제조업
403,,,,,,,,,28519,기타 가정용 전기기기 제조업
404,,,,,,,2852,가정용 비전기식 조리 및 난방 기구 제조업,28520,가정용 비전기식 조리 및 난방 기구 제조업
405,,,,,289,기타 전기장비 제조업,2890,기타 전기장비 제조업,28901,전기경보 및 신호장치 제조업
406,,,,,,,,,28902,전기용 탄소제품 및 절연제품 제조업
407,,,,,,,,,28903,교통 신호장치 제조업
408,,,,,,,,,28909,그외 기타 전기장비 제조업
409,,,29,기타 기계 및 장비 제조업,291,일반 목적용 기계 제조업,2911,내연기관 및 터빈 제조업; 항공기용 및 차량용 제외,29111,내연기관 제조업
410,,,,,,,,,29119,기타 기관 및 터빈 제조업
411,,,,,,,2912,유압기기 제조업,29120,유압기기 제조업
412,,,,,,,2913,"펌프 및 압축기 제조업; 탭, 밸브 및 유사장치 제조 포함",29131,액체 펌프 제조업
413,,,,,,,,,29132,기체 펌프 및 압축기 제조업
414,,,,,,,,,29133,"탭, 밸브 및 유사장치 제조업"
415,,,,,,,2914,"베어링, 기어 및 동력전달장치 제조업",29141,볼베어링 및 롤러베어링 제조업
416,,,,,,,,,29142,기어 및 동력전달장치 제조업
417,,,,,,,2915,"산업용 오븐, 노 및 노용 버너 제조업",29150,"산업용 오븐, 노 및 노용 버너 제조업"
418,,,,,,,2916,"산업용 트럭, 승강기 및 물품취급장비 제조업",29161,산업용 트럭 및 적재기 제조업
419,,,,,,,,,29162,승강기 제조업
420,,,,,,,,,29163,컨베이어장치 제조업
421,,,,,,,,,29169,기타 물품취급장비 제조업
422,,,,,,,2917,"냉각, 공기조화, 여과, 증류 및 가스발생기 제조업",29171,산업용 냉장 및 냉동 장비 제조업
423,,,,,,,,,29172,공기조화장치 제조업
424,,,,,,,,,29173,산업용 송풍기 및 배기장치 제조업
425,,,,,,,,,29174,기체 여과기 제조업
426,,,,,,,,,29175,액체 여과기 제조업
427,,,,,,,,,29176,"증류기,열교환기 및 가스발생기 제조업"
428,,,,,,,2918,사무용 기계 및 장비 제조업,29180,사무용 기계 및 장비 제조업
429,,,,,,,2919,기타 일반 목적용 기계 제조업,29191,일반저울 제조업
430,,,,,,,,,29192,"용기세척, 포장 및 충전기 제조업"
431,,,,,,,,,29193,자동판매기 및 화폐교환기 제조업
432,,,,,,,,,29194,분사기 및 소화기 제조업
433,,,,,,,,,29195,동력식 수지공구 제조업
434,,,,,,,,,29199,그외 기타 일반목적용 기계 제조업
435,,,,,292,특수 목적용 기계 제조업,2921,농업 및 임업용 기계 제조업,29210,농업 및 임업용 기계 제조업
436,,,,,,,2922,가공공작기계 제조업,29221,전자응용 공작기계 제조업
437,,,,,,,,,29222,금속 절삭기계 제조업
438,,,,,,,,,29223,금속 성형기계 제조업
439,,,,,,,,,29229,기타 가공공작기계 제조업
440,,,,,,,2923,금속주조 및 기타 야금용 기계 제조업,29230,금속 주조 및 기타 야금용 기계 제조업
441,,,,,,,2924,건설 및 광산용 기계장비 제조업,29241,토목공사 및 유사용 기계장비 제조업
442,,,,,,,,,29242,광물처리 및 취급장비 제조업
443,,,,,,,2925,음·식료품 및 담배 가공기계 제조업,29250,음·식료품 및 담배 가공기계 제조업
444,,,,,,,2926,"섬유, 의복 및 가죽 가공기계 제조업",29261,"산업용 섬유세척, 염색, 정리 및 가공 기계 제조업"
445,,,,,,,,,29269,"기타 섬유, 의복 및 가죽 가공 기계 제조업"
446,,,,,,,2927,반도체 및 평판디스플레이 제조용 기계 제조업,29271,반도체 제조용 기계 제조업
447,,,,,,,,,29272,평판디스플레이 제조용 기계 제조업
448,,,,,,,2928,산업용 로봇 제조업,29280,산업용 로봇 제조업
449,,,,,,,2929,기타 특수목적용 기계 제조업,29291,펄프 및 종이 가공용 기계 제조업
450,,,,,,,,,29292,"고무, 화학섬유 및 플라스틱 성형기 제조업"
451,,,,,,,,,29293,인쇄 및 제책용 기계 제조업
452,,,,,,,,,29294,주형 및 금형 제조업
453,,,,,,,,,29299,그외 기타 특수목적용 기계 제조업
454,,,30,자동차 및 트레일러 제조업,301,자동차용 엔진 및 자동차 제조업,3011,자동차용 엔진 제조업,30110,자동차용 엔진 제조업
455,,,,,,,3012,자동차 제조업,30121,승용차 및 기타 여객용 자동차 제조업
456,,,,,,,,,30122,화물자동차 및 특수목적용 자동차 제조업
457,,,,,302,자동차 차체 및 트레일러 제조업,3020,자동차 차체 및 트레일러 제조업,30201,차체 및 특장차 제조업
458,,,,,,,,,30202,트레일러 및 세미트레일러 제조업
459,,,,,,,,,30203,운송용 컨테이너 제조업
460,,,,,303,자동차 부품 제조업,3031,자동차 엔진용 부품 제조업,30310,자동차 엔진용 부품 제조업
461,,,,,,,3032,자동차 차체용 부품 제조업,30320,자동차 차체용 부품 제조업
462,,,,,,,3039,기타 자동차 부품 제조업,30391,자동차용 동력전달장치 제조업
463,,,,,,,,,30392,자동차용 전기장치 제조업
464,,,,,,,,,30399,그외 기타 자동차 부품 제조업
465,,,31,기타 운송장비 제조업,311,선박 및 보트 건조업,3111,선박 건조업,31111,강선 건조업
466,,,,,,,,,31112,합성수지선 건조업
467,,,,,,,,,31113,비철금속 선박 및 기타 항해용 선박 건조업
468,,,,,,,,,31114,선박 구성부분품 제조업
469,,,,,,,,,31119,기타 선박 건조업
470,,,,,,,3112,오락 및 스포츠용 보트 건조업,31120,오락 및 스포츠용 보트 건조업
471,,,,,312,철도장비 제조업,3120,철도장비 제조업,31201,기관차 및 기타 철도차량 제조업
472,,,,,,,,,31202,철도차량부품 및 관련장치물 제조업
473,,,,,313,"항공기,우주선 및 부품 제조업",3131,"항공기,우주선 및 보조장치 제조업",31310,"항공기,우주선 및 보조장치 제조업"
474,,,,,,,3132,항공기용 엔진 및 부품 제조업,31321,항공기용 엔진 제조업
475,,,,,,,,,31322,항공기용 부품 제조업
476,,,,,319,그외 기타 운송장비 제조업,3191,전투용 차량 제조업,31910,전투용 차량 제조업
477,,,,,,,3192,모터사이클 제조업,31920,모터사이클 제조업
478,,,,,,,3199,그외 기타 분류안된 운송장비 제조업,31991,자전거 및 환자용 차량 제조업
479,,,,,,,,,31999,그외 기타 달리 분류되지 않은 운송장비 제조업
480,,,32,가구 제조업,320,가구 제조업,3201,침대 및 내장가구 제조업,32011,운송장비용 의자 제조업
481,,,,,,,,,32012,매트리스 및 침대 제조업
482,,,,,,,,,32019,소파 및 기타 내장가구 제조업
483,,,,,,,3202,목재가구 제조업,32021,주방용 및 음식점용 목재가구 제조업
484,,,,,,,,,32022,나전칠기가구 제조업
485,,,,,,,,,32029,기타 목재가구 제조업
486,,,,,,,3209,기타 가구 제조업,32091,금속 가구 제조업
487,,,,,,,,,32099,그외 기타 가구 제조업
488,,,33,기타 제품 제조업,331,귀금속 및 장신용품 제조업,3311,귀금속 및 관련제품 제조업,33110,귀금속 및 관련제품 제조업
489,,,,,,,3312,모조 귀금속 및 모조 장신용품 제조업,33120,모조 귀금속 및 모조 장신용품 제조업
490,,,,,332,악기 제조업,3320,악기제조업,33201,피아노 제조업
491,,,,,,,,,33202,현악기 제조업
492,,,,,,,,,33203,전자악기 제조업
493,,,,,,,,,33204,국악기 제조업
494,,,,,,,,,33209,기타 악기 제조업
495,,,,,333,운동 및 경기용구 제조업,3330,운동 및 경기용구 제조업,33301,"체조, 육상 및 체력단련용 장비 제조업"
496,,,,,,,,,33302,놀이터용 장비 제조업
497,,,,,,,,,33303,낚시 및 수렵용구 제조업
498,,,,,,,,,33309,기타 운동 및 경기용구 제조업
499,,,,,334,"인형,장난감 및 오락용품 제조업",3340,"인형,장난감 및 오락용품 제조업",33401,인형 및 장난감 제조업
500,,,,,,,,,33402,영상게임기 제조업
501,,,,,,,,,33409,기타 오락용품 제조업
502,,,,,339,그외 기타 제품 제조업,3391,간판 및 광고물 제조업,33910,간판 및 광고물 제조업
503,,,,,,,3392,사무 및 회화용품 제조업,33920,사무 및 회화용품 제조업
504,,,,,,,3393,"가발, 장식용품 및 교시용 모형 제조업",33931,가발 및 유사 제품 제조업
505,,,,,,,,,33932,조화 및 모조장식품 제조업
506,,,,,,,,,33933,표구 및 전사처리 제조업
507,,,,,,,,,33934,교시용 모형 제조업
508,,,,,,,3399,그외 기타 분류안된 제품 제조업,33991,우산 및 지팡이 제조업
509,,,,,,,,,33992,단추 및 유사 파스너 제조업
510,,,,,,,,,33993,"라이터, 연소물 및 흡연용품 제조업"
511,,,,,,,,,33994,비 및 솔 제조업
512,,,,,,,,,33999,그외 기타 달리 분류되지 않은 제품 제조업
513,D,"전기, 가스, 증기 및 수도사업 (35 ~ 36)",35,"전기, 가스, 증기 및 공기조절 공급업",351,전기업,3511,발전업,35111,원자력 발전업
514,,,,,,,,,35112,수력 발전업
515,,,,,,,,,35113,화력 발전업
516,,,,,,,,,35119,기타 발전업
517,,,,,,,3512,송전 및 배전업,35120,송전 및 배전업
518,,,,,352,가스 제조 및 배관공급업,3520,가스 제조 및 배관공급업,35200,가스 제조 및 배관공급업
519,,,,,353,"증기,냉온수 및 공기조절 공급업",3530,"증기,냉온수 및 공기조절 공급업",35300,"증기,냉온수 및 공기조절 공급업"
520,,,36,수도사업,360,수도사업,3601,생활용수 공급업,36010,생활용수 공급업
521,,,,,,,3602,산업용수 공급업,36020,산업용수 공급업
522,E,"하수 · 폐기물 처리, 원료재생 및 환경복원업 (37 ~ 39)",37,"하수, 폐수 및 분뇨 처리업",370,"하수, 폐수 및 분뇨 처리업",3701,하수 및 폐수 처리업,37011,하수 처리업
523,,,,,,,,,37012,폐수 처리업
524,,,,,,,3702,분뇨 및 축산분뇨 처리업,37021,분뇨 처리업
525,,,,,,,,,37022,축산분뇨 처리업
526,,,38,"폐기물 수집운반, 처리 및 원료재생업",381,폐기물 수집운반업,3811,지정외 폐기물 수집운반업,38110,지정외 폐기물 수집운반업
527,,,,,,,3812,지정 폐기물 수집운반업,38120,지정 폐기물 수집운반업
528,,,,,,,3813,건설폐기물 수집운반업,38130,건설폐기물 수집운반업
529,,,,,382,폐기물 처리업,3821,지정외 폐기물 처리업,38210,지정외 폐기물 처리업
530,,,,,,,3822,지정 폐기물 처리업,38220,지정 폐기물 처리업
531,,,,,,,3823,건설 폐기물 처리업,38230,건설 폐기물 처리업
532,,,,,,,3824,방사성 폐기물 수집운반 및 처리업,38240,방사성 폐기물 수집운반 및 처리업
533,,,,,383,금속 및 비금속 원료 재생업,3830,금속 및 비금속 원료 재생업,38301,금속원료 재생업
534,,,,,,,,,38302,비금속원료 재생업
535,,,39,환경 정화 및 복원업,390,환경 정화 및 복원업,3900,환경 정화 및 복원업,39001,토양 및 지하수 정화업
536,,,,,,,,,39009,기타 환경 정화 및 복원업
537,F,건설업 (41 ~ 42),41,종합 건설업,411,건물 건설업,4111,주거용 건물 건설업,41111,단독 및 연립주택 건설업
538,,,,,,,,,41112,아파트 건설업
539,,,,,,,4112,비주거용 건물 건설업,41121,사무 및 상업용 건물 건설업
540,,,,,,,,,41122,공업 및 유사 산업용 건물 건설업
541,,,,,,,,,41129,기타 비주거용 건물 건설업
542,,,,,412,토목 건설업,4121,지반조성 건설업,41210,지반조성 건설업
543,,,,,,,4122,토목시설물 건설업,41221,도로 건설업
544,,,,,,,,,41222,"교량, 터널 및 철도 건설업"
545,,,,,,,,,41223,"수로, 댐 및 급 · 배수시설 건설업"
546,,,,,,,,,41224,폐기물처리 및 오염방지시설 건설업
547,,,,,,,,,41225,산업플랜트 건설업
548,,,,,,,,,41226,조경 건설업
549,,,,,,,,,41229,기타 토목시설물 건설업
550,,,42,전문직별 공사업,421,기반조성 및 시설물 축조관련 전문공사업,4211,건물 및 구축물 해체 공사업,42110,건물 및 구축물 해체 공사업
551,,,,,,,4212,기반조성 관련 전문공사업,42121,토공사업
552,,,,,,,,,42122,"보링, 그라우팅 및 굴정 공사업"
553,,,,,,,,,42123,파일공사 및 축조관련 기초 공사업
554,,,,,,,,,42129,기타 기반조성 관련 전문공사업
555,,,,,,,4213,시설물 축조 관련 전문공사업,42131,철골 공사업
556,,,,,,,,,42132,철근 및 철근콘크리트 공사업
557,,,,,,,,,42133,조적 및 석축 공사업
558,,,,,,,,,42134,포장 공사업
559,,,,,,,,,42135,철도궤도 전문공사업
560,,,,,,,,,42136,수중 공사업
561,,,,,,,,,42137,비계 및 형틀 공사업
562,,,,,,,,,42139,기타 시설물 축조관련 전문공사업
563,,,,,422,건물설비 설치 공사업,4220,건물설비 설치 공사업,42201,배관 및 냉·난방 공사업
564,,,,,,,,,42202,건물용 기계장비 설치 공사업
565,,,,,,,,,42203,방음 및 내화 공사업
566,,,,,,,,,42204,소방시설 공사업
567,,,,,,,,,42209,기타 건물설비 설치 공사업
568,,,,,423,전기 및 통신 공사업,4231,전기 공사업,42311,일반전기 공사업
569,,,,,,,,,42312,내부 전기배선 공사업
570,,,,,,,4232,통신 공사업,42321,일반 통신 공사업
571,,,,,,,,,42322,내부 통신배선 공사업
572,,,,,424,실내건축 및 건축마무리 공사업,4241,"도장, 도배 및 내장 공사업",42411,도장 공사업
573,,,,,,,,,42412,"도배, 실내장식 및 내장 목공사업"
574,,,,,,,4242,유리 및 창호 공사업,42420,유리 및 창호 공사업
575,,,,,,,4249,기타 건축마무리 공사업,42491,"미장, 타일 및 방수 공사업"
576,,,,,,,,,42492,건물용 금속공작물 설치 공사업
577,,,,,,,,,42499,그외 기타 건축마무리 공사업
578,,,,,425,건설장비 운영업,4250,건설장비 운영업,42500,건설장비 운영업
579,G,도매 및 소매업(45~47),45,자동차 및 부품 판매업,451,자동차 판매업,4511,자동차 신품 판매업,45110,자동차 신품 판매업
580,,,,,,,4512,중고 자동차 판매업,45120,중고 자동차 판매업
581,,,,,452,자동차 부품 및 내장품 판매업,4521,자동차신품 부품 및 내장품 판매업,45211,자동차 타이어 및 튜브 판매업
582,,,,,,,,,45219,기타 자동차신품 부품 및 내장품 판매업
583,,,,,,,4522,자동차중고 부품 및 내장품 판매업,45220,자동차중고 부품 및 내장품 판매업
584,,,,,453,모터사이클 및 부품 판매업,4530,모터사이클 및 부품 판매업,45301,모터사이클 및 부품 도매업
585,,,,,,,,,45302,모터사이클 및 부품 소매업
586,,,46,도매 및 상품중개업,461,상품 중개업,4610,상품 중개업,46101,산업용 농축산물 및 산동물 중개업
587,,,,,,,,,46102,음·식료품 및 담배 중개업
588,,,,,,,,,46103,"섬유, 의복, 신발 및 가죽제품 중개업"
589,,,,,,,,,46104,기계장비 중개업
590,,,,,,,,,46105,상품종합 중개업
591,,,,,,,,,46109,기타 상품 중개업
592,,,,,462,산업용 농축산물 및 산동물 도매업,4620,산업용 농축산물 및 산동물 도매업,46201,곡물 도매업
593,,,,,,,,,46202,종자 및 묘목 도매업
594,,,,,,,,,46203,사료 도매업
595,,,,,,,,,46204,화초 및 산식물 도매업
596,,,,,,,,,46205,산동물 도매업
597,,,,,,,,,46209,기타 산업용 농산물 및 산동물 도매업
598,,,,,463,음·식료품 및 담배 도매업,4631,비가공 식품 도매업,46311,과실 및 채소 도매업
599,,,,,,,,,46312,육류 도매업
600,,,,,,,,,46313,수산물 도매업
601,,,,,,,,,46319,기타 비가공 식품 도매업
602,,,,,,,4632,가공식품 도매업,46321,육류 가공식품 도매업
603,,,,,,,,,46322,수산물 가공식품 도매업
604,,,,,,,,,46323,빵 및 과자 도매업
605,,,,,,,,,46324,낙농품 도매업
606,,,,,,,,,46329,기타 가공식품 도매업
607,,,,,,,4633,음료 및 담배 도매업,46331,주류 도매업
608,,,,,,,,,46332,비알콜음료 도매업
609,,,,,,,,,46333,담배 도매업
610,,,,,464,가정용품 도매업,4641,"가정용 섬유, 의복 및 의복액세서리 도매업",46411,가정용 섬유 및 실 도매업
611,,,,,,,,,46412,커튼 및 침구용품 도매업
612,,,,,,,,,46413,셔츠 및 외의 도매업
613,,,,,,,,,46414,유아용 의류 도매업
614,,,,,,,,,46415,내의 도매업
615,,,,,,,,,46416,가죽 및 모피제품 도매업
616,,,,,,,,,46417,의복액세서리 및 모조장신품 도매업
617,,,,,,,,,46419,기타 가정용 섬유 및 직물제품 도매업
618,,,,,,,4642,신발 도매업,46420,신발 도매업
619,,,,,,,4643,"조명기구, 가정용 가구 및 비전기식 가정용기기 도매업",46431,가정용 가구 도매업
620,,,,,,,,,46432,전구·램프 및 조명장치 도매업
621,,,,,,,,,46433,"가정용 요업제품, 비전기식 주방용품 및 날붙이 도매업"
622,,,,,,,,,46439,기타 비전기식 가정용 기기 및 기구 도매업
623,,,,,,,4644,"의약품, 의료용품 및 화장품 도매업",46441,의약품 도매업
624,,,,,,,,,46442,의료용품 도매업
625,,,,,,,,,46443,화장품 도매업
626,,,,,,,,,46444,비누 및 세정제 도매업
627,,,,,,,4645,"종이, 인쇄물 및 문구용품 도매업",46451,종이제품 도매업
628,,,,,,,,,46452,문구용품 도매업
629,,,,,,,,,46453,"서적, 잡지 및 신문 도매업"
630,,,,,,,4646,"오락, 취미 및 경기용품 도매업",46461,음반 및 비디오물 도매업
631,,,,,,,,,46462,악기 도매업
632,,,,,,,,,46463,장난감 및 취미용품 도매업
633,,,,,,,,,46464,운동 및 경기용품 도매업
634,,,,,,,,,46465,자전거 및 기타 운송장비 도매업
635,,,,,,,4649,기타 가정용품 도매업,46491,가방 및 여행용품 도매업
636,,,,,,,,,46492,시계 및 귀금속제품 도매업
637,,,,,,,,,46493,사진장비 및 광학용품 도매업
638,,,,,,,,,46499,그외 기타 가정용품 도매업
639,,,,,465,기계장비 및 관련 물품 도매업,4651,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510,"컴퓨터 및 주변장치, 소프트웨어 도매업"
640,,,,,,,4652,"가전제품, 통신장비 및 부품 도매업",46521,가전제품 및 부품 도매업
641,,,,,,,,,46522,통신장비 및 부품 도매업
642,,,,,,,4653,산업용 기계 및 장비 도매업,46531,농업용 기계 및 장비 도매업
643,,,,,,,,,46532,건설·광업용 기계 및 장비 도매업
644,,,,,,,,,46533,공작기계 도매업
645,,,,,,,,,46539,기타 산업용 기계 및 장비 도매업
646,,,,,,,4659,기타 기계 및 장비 도매업,46591,사무용 가구 및 기기 도매업
647,,,,,,,,,46592,"의료, 정밀 및 과학기기 도매업"
648,,,,,,,,,46593,수송용 기계 및 장비 도매업
649,,,,,,,,,46594,전기용 기계장비 및 관련 기자재 도매업
650,,,,,,,,,46599,그외 기타 기계 및 장비 도매업
651,,,,,466,"건축자재, 철물 및 난방장치 도매업",4661,일반 건축자재 도매업,46611,원목 및 건축관련 목재품 도매업
652,,,,,,,,,46612,"골재, 벽돌 및 시멘트 도매업"
653,,,,,,,,,46613,유리 및 창호 도매업
654,,,,,,,4662,철물 및 냉·난방장치 도매업,46621,배관 및 냉·난방장치 도매업
655,,,,,,,,,46622,철물 및 수공구 도매업
656,,,,,,,4669,기타 건축자재 도매업,46691,도료 도매업
657,,,,,,,,,46692,벽지 및 장판류 도매업
658,,,,,,,,,46699,그외 기타 건축자재 도매업
659,,,,,467,기타 전문 도매업,4671,연료 및 관련제품 도매업,46711,고체연료 및 관련제품 도매업
660,,,,,,,,,46712,액체연료 및 관련제품 도매업
661,,,,,,,,,46713,기체연료 및 관련제품 도매업
662,,,,,,,4672,1차 금속제품 및 금속광물 도매업,46721,1차 금속제품 도매업
663,,,,,,,,,46722,금속광물 도매업
664,,,,,,,4673,화학물질 및 화학제품 도매업,46731,"염료, 안료 및 관련제품 도매업"
665,,,,,,,,,46732,비료 및 농약 도매업
666,,,,,,,,,46733,합성고무 및 플라스틱물질 도매업
667,,,,,,,,,46739,기타 화학물질 및 화학제품 도매업
668,,,,,,,4674,"방직용 섬유, 사 및 직물 도매업",46741,방직용 섬유 및 사 도매업
669,,,,,,,,,46742,직물 도매업
670,,,,,,,4679,재생용 재료 및 기타 상품 전문 도매업,46791,재생용 재료 수집 및 판매업
671,,,,,,,,,46799,그외 기타 상품 전문 도매업
672,,,,,468,상품 종합 도매업,4680,상품 종합 도매업,46800,상품 종합 도매업
673,,,47,소매업; 자동차 제외,471,종합 소매업,4711,대형 종합 소매업,47111,백화점
674,,,,,,,,,47119,기타 대형 종합 소매업
675,,,,,,,4712,음·식료품 위주 종합 소매업,47121,슈퍼마켓
676,,,,,,,,,47122,체인화 편의점
677,,,,,,,,,47129,기타 음·식료품 위주 종합 소매업
678,,,,,,,4719,그외 기타 종합 소매업,47190,그외 기타 종합 소매업
679,,,,,472,음·식료품 및 담배 소매업,4721,식료품 소매업,47211,곡물 소매업
680,,,,,,,,,47212,육류 소매업
681,,,,,,,,,47213,수산물 소매업
682,,,,,,,,,47214,과실 및 채소 소매업
683,,,,,,,,,47215,빵 및 과자류 소매업
684,,,,,,,,,47216,건강보조식품 소매업
685,,,,,,,,,47219,기타 식료품 소매업
686,,,,,,,4722,음료 및 담배 소매업,47221,음료 소매업
687,,,,,,,,,47222,담배 소매업
688,,,,,473,정보통신장비 소매업,4731,"컴퓨터 및 주변장치, 소프트웨어 및 통신기기 소매업",47311,"컴퓨터 및 주변장치, 소프트웨어 소매업"
689,,,,,,,,,47312,통신기기 소매업
690,,,,,,,4732,가전제품 소매업,47320,가전제품 소매업
691,,,,,474,"섬유, 의복, 신발 및 가죽제품 소매업",4741,"섬유, 직물, 의복 및 의복액세서리 소매업",47411,가정용 직물제품 소매업
692,,,,,,,,,47412,한복 소매업
693,,,,,,,,,47413,남녀용 정장 소매업
694,,,,,,,,,47414,유아용 의류 소매업
695,,,,,,,,,47415,내의 소매업
696,,,,,,,,,47416,셔츠 및 기타 의복 소매업
697,,,,,,,,,47419,"기타 섬유, 직물 및 의복액세서리 소매업"
698,,,,,,,4742,신발 소매업,47420,신발 소매업
699,,,,,,,4743,가방 및 기타 가죽제품 소매업,47430,가방 및 기타 가죽제품 소매업
700,,,,,475,기타 가정용품 소매업,4751,"철물, 페인트, 유리 및 건설자재 소매업",47511,철물 및 난방용구 소매업
701,,,,,,,,,47512,기계공구 소매업
702,,,,,,,,,47513,벽지 및 장판류 소매업
703,,,,,,,,,47519,"페인트, 유리 및 기타 건설자재 소매업"
704,,,,,,,4752,가구 소매업,47520,가구 소매업
705,,,,,,,4759,그외 기타 가정용품 소매업,47591,전기용품 및 조명장치 소매업
706,,,,,,,,,47592,식탁 및 주방용품 소매업
707,,,,,,,,,47593,악기 소매업
708,,,,,,,,,47599,그외 기타 분류안된 가정용품 소매업
709,,,,,476,"문화, 오락 및 여가 용품 소매업",4761,서적 및 문구용품 소매업,47611,서적 및 잡지류 소매업
710,,,,,,,,,47612,문구용품 소매업
711,,,,,,,4762,음반 및 비디오물 소매업,47620,음반 및 비디오물 소매업
712,,,,,,,4763,스포츠용품 소매업,47631,운동 및 경기용품 소매업
713,,,,,,,,,47632,자전거 및 기타 운송장비 소매업
714,,,,,,,4764,"게임용구, 인형 및 장난감 소매업",47640,"게임용구, 인형 및 장난감 소매업"
715,,,,,477,연료 소매업,4771,차량용 연료 소매업,47711,차량용 주유소 운영업
716,,,,,,,,,47712,차량용 가스 충전업
717,,,,,,,4772,가정용 연료 소매업,47721,가정용 고체연료 소매업
718,,,,,,,,,47722,가정용 액체연료 소매업
719,,,,,,,,,47723,가정용 가스연료 소매업
720,,,,,478,기타 상품 전문 소매업,4781,"의약품, 의료용 기구, 화장품 및 방향제 소매업",47811,의약품 및 의료용품 소매업
721,,,,,,,,,47812,의료용 기구 소매업
722,,,,,,,,,47813,화장품 및 방향제 소매업
723,,,,,,,4782,"사무용 기기, 사진장비 및 정밀기기 소매업",47821,사무용 기기 소매업
724,,,,,,,,,47822,안경 소매업
725,,,,,,,,,47823,사진기 및 사진용품 소매업
726,,,,,,,,,47829,기타 광학 및 정밀 기기 소매업
727,,,,,,,4783,시계 및 귀금속 소매업,47830,시계 및 귀금속 소매업
728,,,,,,,4784,예술품 및 선물용품 소매업,47841,예술품 및 골동품 소매업
729,,,,,,,,,47842,관광 민예품 및 선물용품 소매업
730,,,,,,,4785,그외 기타 상품 전문 소매업,47851,화초 및 산식물 소매업
731,,,,,,,,,47852,애완용 동물 및 관련용품 소매업
732,,,,,,,,,47859,그외 기타 분류안된 상품 전문 소매업
733,,,,,,,4786,중고상품 소매업,47861,중고가구 소매업
734,,,,,,,,,47862,중고 가전제품 소매업
735,,,,,,,,,47869,기타 중고상품 소매업
736,,,,,479,무점포 소매업,4791,통신 판매업,47911,전자상거래업
737,,,,,,,,,47919,기타 통신 판매업
738,,,,,,,4792,노점 및 유사이동 소매업,47920,노점 및 유사이동 소매업
739,,,,,,,4799,기타 무점포 소매업,47991,자동판매기 운영업
740,,,,,,,,,47992,계약배달 판매업
741,,,,,,,,,47993,방문 판매업
